B,50,50,130,150,0,R0,150,150,158,178,0,R3,178,200,330,350,1,350,1
B,150,150,230,250,0,250,0
B,250,250,3330,3350,10,3350,10
B,350,3350,3430,3450,0,3450,0
B,400,3450,3630,3650,1,R1,3650,3650,3658,3678,0,R2,3678,5150,7280,7300,8,7300,9
B,400,3650,4580,4600,5,4600,5
B,400,4600,4730,4750,1,R1,4750,4750,4758,4778,0,R2,4778,7300,8180,8200,3,8200,4
B,900,4750,7330,7350,11,R1,7350,7350,7358,7378,0,R2,7378,9650,10880,10900,4,10900,15
B,1050,7350,7480,7500,1,7500,1
B,1050,7500,7680,7700,1,7700,1
B,1100,7700,7880,7900,1,R0,7900,7900,7908,7928,0,R2,7928,10900,11080,11100,1,11100,2
B,1350,7900,8580,8600,4,R0,8600,8600,8608,8628,0,R3,8628,14700,16080,16100,5,16100,9
B,1350,8600,9080,9100,4,R0,9100,9100,9108,9128,0,R3,9128,16100,17330,17350,6,17350,10
B,1350,9100,9280,9300,1,R0,9300,9300,9308,9328,0,R3,9328,17350,20330,20350,12,20350,13
B,1350,9300,9830,9850,3,R0,9850,9850,9858,9878,0,R3,9878,20350,20580,20600,2,20600,5
B,1450,9850,10030,10050,1,10050,1
B,1750,10050,10230,10250,1,R0,10250,10250,10258,10278,0,R2,10278,11100,12280,12300,3,12300,4
B,1850,10250,10880,10900,3,10900,3
B,1900,10900,11030,11050,1,R1,11050,11050,11058,11078,0,R2,11078,12300,12530,12550,1,12550,2
B,2000,11050,11430,11450,2,11450,2
B,2000,11450,11780,11800,2,R1,11800,11800,11808,11828,0,R2,11828,12550,12730,12750,1,12750,3
B,2100,11800,11980,12000,1,12000,1
B,2200,12000,12130,12150,1,12150,1
B,2300,12150,12330,12350,1,12350,1
B,2550,12350,12430,12450,0,R0,12450,12450,12458,12478,0,R3,12478,20600,21630,21650,3,21650,3
B,2600,12450,12680,12700,2,12700,2
B,2650,12700,12780,12800,0,R1,12800,12800,12808,12828,0,R2,12828,12900,14830,14850,8,14850,8
B,2800,12800,14430,14450,7,R0,14450,14450,14458,14478,0,R3,14478,21650,22780,22800,5,22800,12
B,2850,14450,15330,15350,6,R0,15350,15350,15358,15378,0,R3,15378,22950,23030,23050,0,23050,6
B,2850,15350,16680,16700,6,R1,16700,16700,16708,16728,0,R2,16728,17650,18380,18400,4,18400,10
B,2900,16700,16880,16900,1,R1,16900,16900,16908,16928,0,R2,16928,18400,20130,20150,6,20150,7
B,3050,16900,18280,18300,6,R0,18300,18300,18308,18328,0,R2,18328,21400,21830,21850,1,21850,7
B,3350,18300,18580,18600,2,R0,18600,18600,18608,18628,0,R2,18628,21850,22330,22350,1,22350,3
B,3400,18600,18730,18750,1,18750,1
B,3550,18750,18880,18900,1,R0,18900,18900,18908,18928,0,R2,18928,22350,27030,27050,21,27050,22
B,3700,18900,18980,19000,0,R1,19000,19000,19008,19028,0,R2,19028,27050,28530,28550,8,28550,8
B,3750,19000,19580,19600,3,R0,19600,19600,19608,19628,0,R2,19628,28550,28680,28700,1,28700,4
B,3850,19600,19680,19700,0,R0,19700,19700,19708,19728,0,R2,19728,28700,28830,28850,1,28850,1
B,3850,19700,20880,20900,5,R1,20900,20900,20908,20928,0,R3,20928,23050,23330,23350,1,23350,6
B,3900,20900,21930,21950,4,21950,4
B,4000,21950,24880,24900,12,R1,24900,24900,24908,24928,0,R3,24928,32750,33880,33900,5,33900,17
B,4100,24900,25080,25100,1,25100,1
B,4150,25100,27580,27600,12,27600,12
B,4250,27600,27680,27700,0,27700,0
B,4250,27700,27830,27850,1,R1,27850,27850,27858,27878,0,R2,27878,30500,31980,32000,7,32000,8
B,4450,27850,28730,28750,4,R0,28750,28750,28758,28778,0,R3,28778,35350,35830,35850,3,35850,7
B,4500,28750,28830,28850,0,R1,28850,28850,28858,28878,0,R3,28878,35850,36730,36750,5,36750,5
B,4750,28850,30280,30300,6,R0,30300,30300,30308,30328,0,R3,30328,39750,39830,39850,0,39850,6
B,4800,30300,30780,30800,3,R0,30800,30800,30808,30828,0,R3,30828,39850,40030,40050,1,40050,4
B,4850,30800,31130,31150,3,R0,31150,31150,31158,31178,0,R3,31178,40050,40630,40650,3,40650,6
B,5000,31150,31230,31250,0,31250,0
B,5000,31250,31630,31650,3,31650,3
B,5100,31650,32180,32200,3,32200,3
B,5200,32200,32330,32350,1,32350,1
B,5250,32350,32980,33000,4,R1,33000,33000,33008,33028,0,R3,33028,42550,43630,43650,5,43650,9
B,5400,33000,33080,33100,0,R0,33100,33100,33108,33128,0,R3,33128,43650,46980,47000,16,47000,16
B,5550,33100,33230,33250,1,33250,1
B,5700,33250,33380,33400,1,R1,33400,33400,33408,33428,0,R3,33428,47000,47580,47600,3,47600,4
B,5950,33400,33530,33550,1,R1,33550,33550,33558,33578,0,R3,33578,47600,48580,48600,3,48600,4
B,6000,33550,33830,33850,2,33850,2
B,6000,33850,33980,34000,1,34000,1
B,6300,34000,34080,34100,0,34100,0
B,6500,34100,35230,35250,5,R0,35250,35250,35258,35278,0,R2,35278,35350,35680,35700,2,35700,7
B,6550,35250,38380,38400,15,38400,15
B,6550,38400,38580,38600,1,R0,38600,38600,38608,38628,0,R3,38628,53150,56330,56350,13,56350,14
B,6550,38600,39230,39250,3,39250,3
B,6550,39250,39730,39750,3,39750,3
B,6600,39750,41080,41100,6,R1,41100,41100,41108,41128,0,R2,41128,42850,46330,46350,13,46350,19
B,6700,41100,45780,45800,19,R1,45800,45800,45808,45828,0,R2,45828,55150,55630,55650,1,55650,20
