D,5000,44650,44880,44900,2,44900,2
D,5200,44900,45030,45050,1,R2,45050,45050,45058,45078,0,R1,45078,65950,66030,66050,0,66050,1
D,5400,45050,47130,47150,9,R3,47150,47150,47158,47178,0,R0,47178,47200,47780,47800,2,47800,11
D,5400,47150,47230,47250,0,R3,47250,47250,47258,47278,0,R0,47278,47800,48230,48250,1,48250,1
D,5450,47250,49130,49150,7,R3,49150,49150,49158,49178,0,R1,49178,78050,79980,80000,9,80000,16
D,5800,49150,49380,49400,2,R3,49400,49400,49408,49428,0,R1,49428,80000,80380,80400,3,80400,5
D,5900,49400,49580,49600,2,R3,49600,49600,49608,49628,0,R1,49628,80400,81330,81350,4,81350,6
D,6000,49600,49730,49750,1,R3,49750,49750,49758,49778,0,R1,49778,81350,84180,84200,10,84200,11
D,6050,49750,49830,49850,0,R2,49850,49850,49858,49878,0,R1,49878,84200,85680,85700,4,85700,4
D,6100,49850,50230,50250,2,R3,50250,50250,50258,50278,0,R0,50278,50300,51030,51050,3,51050,5
D,6150,50250,50430,50450,1,50450,1
D,6150,50450,50630,50650,2,R3,50650,50650,50658,50678,0,R0,50678,51050,52080,52100,3,52100,5
D,6200,50650,50980,51000,2,R3,51000,51000,51008,51028,0,R0,51028,54100,54430,54450,2,54450,4
D,6300,51000,51180,51200,1,R2,51200,51200,51208,51228,0,R0,51228,54450,54730,54750,2,54750,3
D,6400,51200,51330,51350,1,R2,51350,51350,51358,51378,0,R0,51378,54750,59330,59350,18,59350,19
D,6450,51350,51530,51550,1,R3,51550,51550,51558,51578,0,R0,51578,59350,59980,60000,2,60000,3
D,6500,51550,51630,51650,0,R2,51650,51650,51658,51678,0,R0,51678,60000,60330,60350,2,60350,2
D,6650,51650,51830,51850,1,51850,1
D,6700,51850,52030,52050,2,R2,52050,52050,52058,52078,0,R0,52078,60350,64180,64200,14,64200,16
D,6800,52050,52180,52200,1,R3,52200,52200,52208,52228,0,R0,52228,64200,66230,66250,8,66250,9
D,6800,52200,54480,54500,8,R3,54500,54500,54508,54528,0,R0,54528,67950,70730,70750,10,70750,18
D,6850,54500,55330,55350,4,R2,55350,55350,55358,55378,0,R1,55378,86450,86780,86800,1,86800,5
D,6950,55350,55480,55500,1,R2,55500,55500,55508,55528,0,R1,55528,86800,91480,91500,19,91500,20
D,7050,55500,55930,55950,3,R2,55950,55950,55958,55978,0,R1,55978,91500,91580,91600,0,91600,3
D,7100,55950,56080,56100,1,56100,1
D,7200,56100,60780,60800,23,R2,60800,60800,60808,60828,0,R0,60828,82700,83330,83350,2,83350,25
D,7250,60800,60980,61000,2,R3,61000,61000,61008,61028,0,R1,61028,92100,94480,94500,9,94500,11
D,7250,61000,61130,61150,1,61150,1
D,7250,61150,61280,61300,1,R2,61300,61300,61308,61328,0,R0,61328,83350,87280,87300,17,87300,18
D,7800,61300,61430,61450,1,61450,1
D,7900,61450,62680,62700,5,R2,62700,62700,62708,62728,0,R0,62728,87850,87980,88000,1,88000,6
D,7950,62700,62830,62850,1,62850,1
D,8050,62850,62930,62950,0,R3,62950,62950,62958,62978,0,R1,62978,95200,95480,95500,2,95500,2
D,8050,62950,71130,71150,30,R2,71150,71150,71158,71178,0,R0,71178,101800,103130,103150,4,103150,34
D,8200,71150,71280,71300,1,71300,1
D,8250,71300,73730,73750,12,R3,73750,73750,73758,73778,0,R1,73778,112100,113330,113350,4,113350,16
D,8400,73750,75180,75200,7,R3,75200,75200,75208,75228,0,R0,75228,108700,110030,110050,5,110050,12
D,8450,75200,75430,75450,3,R2,75450,75450,75458,75478,0,R0,75478,110050,116380,116400,22,116400,25
D,8600,75450,80430,80450,22,R2,80450,80450,80458,80478,0,R0,80478,117400,117480,117500,0,117500,22
D,8750,80450,80630,80650,1,80650,1
D,8800,80650,80780,80800,1,R2,80800,80800,80808,80828,0,R0,80828,117500,121480,121500,16,121500,17
D,8850,80800,80930,80950,1,R2,80950,80950,80958,80978,0,R0,80978,121500,122830,122850,5,122850,6
D,8950,80950,81280,81300,2,81300,2
D,9000,81300,81730,81750,3,R2,81750,81750,81758,81778,0,R0,81778,122850,123080,123100,1,123100,4
D,9150,81750,81830,81850,0,81850,0
D,9200,81850,87730,87750,25,R3,87750,87750,87758,87778,0,R0,87778,135150,135480,135500,1,135500,26
D,9400,87750,88030,88050,2,88050,2
D,9450,88050,88230,88250,1,88250,1
D,9600,88250,88380,88400,1,R3,88400,88400,88408,88428,0,R1,88428,122700,124530,124550,7,124550,8
D,9650,88400,88730,88750,2,R3,88750,88750,88758,88778,0,R1,88778,124550,125680,125700,7,125700,9
D,10000,88750,89180,89200,3,89200,3
D,10250,89200,89330,89350,1,R3,89350,89350,89358,89378,0,R1,89378,125700,126730,126750,3,126750,4
D,10300,89350,89880,89900,3,R3,89900,89900,89908,89928,0,R1,89928,126750,127680,127700,4,127700,7
D,10400,89900,92380,92400,8,R3,92400,92400,92408,92428,0,R0,92428,136850,142230,142250,20,142250,28
D,10550,92400,93080,93100,3,93100,3
D,10700,93100,93180,93200,0,93200,0
D,10850,93200,93930,93950,3,R3,93950,93950,93958,93978,0,R0,93978,142250,144330,144350,8,144350,11
D,11000,93950,94130,94150,1,94150,1
D,11050,94150,94630,94650,3,94650,3
D,11100,94650,96030,96050,5,96050,5
D,11350,96050,96180,96200,1,R2,96200,96200,96208,96228,0,R0,96228,144350,144830,144850,2,144850,3
D,11400,96200,97980,98000,8,98000,8
D,11450,98000,98180,98200,1,98200,1
D,11600,98200,98430,98450,2,98450,2
D,11650,98450,98530,98550,0,R2,98550,98550,98558,98578,0,R1,98578,128800,129180,129200,1,129200,1
D,11850,98550,99530,99550,5,99550,5
D,11900,99550,101680,101700,9,101700,9
D,11950,101700,102080,102100,3,R2,102100,102100,102108,102128,0,R0,102128,154400,156930,156950,11,156950,14
D,11950,102100,102230,102250,1,R3,102250,102250,102258,102278,0,R1,102278,129650,129730,129750,0,129750,1
D,12050,102250,103530,103550,8,R3,103550,103550,103558,103578,0,R1,103578,129750,129830,129850,0,129850,8
D,12150,103550,103780,103800,2,103800,2
D,12250,103800,104130,104150,2,104150,2
D,12250,104150,104230,104250,0,R2,104250,104250,104258,104278,0,R0,104278,157050,157880,157900,5,157900,5
D,12250,104250,104380,104400,1,R2,104400,104400,104408,104428,0,R0,104428,157900,159430,159450,5,159450,6
D,12500,104400,104580,104600,1,R3,104600,104600,104608,104628,0,R1,104628,129850,130930,130950,6,130950,7
D,12650,104600,106680,106700,9,106700,9
D,12650,106700,106780,106800,0,R2,106800,106800,106808,106828,0,R1,106828,131750,131830,131850,0,131850,0
D,12700,106800,107030,107050,2,107050,2
D,12900,107050,107180,107200,1,R2,107200,107200,107208,107228,0,R1,107228,131850,132880,132900,4,132900,5
D,13000,107200,108580,108600,8,R2,108600,108600,108608,108628,0,R0,108628,161750,163130,163150,4,163150,12
D,13050,108600,108730,108750,1,R3,108750,108750,108758,108778,0,R0,108778,163150,163230,163250,0,163250,1
D,13100,108750,109130,109150,2,R2,109150,109150,109158,109178,0,R0,109178,163250,163380,163400,1,163400,3
D,13200,109150,109230,109250,0,R3,109250,109250,109258,109278,0,R0,109278,163400,167230,167250,15,167250,15
D,13300,109250,109380,109400,1,R2,109400,109400,109408,109428,0,R0,109428,167250,167380,167400,1,167400,2
D,13350,109400,109530,109550,1,R2,109550,109550,109558,109578,0,R0,109578,167400,168280,168300,4,168300,5
D,13350,109550,109630,109650,0,R2,109650,109650,109658,109678,0,R0,109678,168300,168680,168700,1,168700,1
D,13350,109650,109780,109800,1,R2,109800,109800,109808,109828,0,R0,109828,168700,170280,170300,6,170300,7
D,13600,109800,109930,109950,1,R3,109950,109950,109958,109978,0,R0,109978,170300,170480,170500,1,170500,2
D,13800,109950,110080,110100,1,110100,1
D,13850,110100,110280,110300,2,R3,110300,110300,110308,110328,0,R1,110328,132900,133180,133200,1,133200,3
D,13850,110300,110430,110450,1,R2,110450,110450,110458,110478,0,R1,110478,133200,133680,133700,2,133700,3
D,13950,110450,110630,110650,1,R2,110650,110650,110658,110678,0,R1,110678,133700,134130,134150,1,134150,2
D,14200,110650,110830,110850,1,R3,110850,110850,110858,110878,0,R1,110878,134150,134780,134800,3,134800,4
D,14350,110850,111830,111850,5,R3,111850,111850,111858,111878,0,R1,111878,136700,137130,137150,1,137150,6
D,14450,111850,112030,112050,1,112050,1
D,14550,112050,112430,112450,3,112450,3
D,14550,112450,112580,112600,1,112600,1
D,14650,112600,112730,112750,1,R2,112750,112750,112758,112778,0,R1,112778,137150,137730,137750,3,137750,4
D,14700,112750,114530,114550,9,R3,114550,114550,114558,114578,0,R1,114578,138200,138280,138300,0,138300,9
D,14750,114550,114630,114650,0,R2,114650,114650,114658,114678,0,R0,114678,170500,173380,173400,10,173400,10
D,14900,114650,114780,114800,1,R3,114800,114800,114808,114828,0,R1,114828,138300,138480,138500,1,138500,2
D,15150,114800,114930,114950,1,R2,114950,114950,114958,114978,0,R0,114978,173400,173880,173900,1,173900,2
D,15750,114950,115730,115750,4,R2,115750,115750,115758,115778,0,R0,115778,174850,174980,175000,1,175000,5
D,15800,115750,116480,116500,4,R3,116500,116500,116508,116528,0,R1,116528,138500,139330,139350,4,139350,8
D,15900,116500,116630,116650,1,R2,116650,116650,116658,116678,0,R1,116678,139350,140030,140050,3,140050,4
D,15900,116650,120230,120250,15,R3,120250,120250,120258,120278,0,R1,120278,147550,147630,147650,0,147650,15
D,15950,120250,120330,120350,0,R3,120350,120350,120358,120378,0,R1,120378,147650,150480,150500,12,150500,12
D,16100,120350,122180,122200,8,R3,122200,122200,122208,122228,0,R0,122228,179350,179480,179500,1,179500,9
D,16150,122200,122280,122300,0,R2,122300,122300,122308,122328,0,R0,122328,179500,180080,180100,2,180100,2
D,16200,122300,122830,122850,3,R3,122850,122850,122858,122878,0,R0,122878,180100,181130,181150,5,181150,8
D,16250,122850,123180,123200,2,R3,123200,123200,123208,123228,0,R0,123228,181150,181230,181250,0,181250,2
D,16250,123200,126230,126250,12,R2,126250,126250,126258,126278,0,R0,126278,188750,189730,189750,3,189750,15
D,16500,126250,126330,126350,0,R2,126350,126350,126358,126378,0,R0,126378,189750,189830,189850,0,189850,0
D,16900,126350,126480,126500,1,R3,126500,126500,126508,126528,0,R0,126528,189850,190880,190900,3,190900,4
D,16950,126500,126780,126800,2,126800,2
D,17300,126800,126980,127000,2,R3,127000,127000,127008,127028,0,R0,127028,190900,192180,192200,5,192200,7
