A,200,250,380,400,1,R0,400,400,408,428,0,R3,428,450,530,550,0,550,1
A,650,700,930,950,2,R0,950,950,958,978,0,R3,978,1000,2080,2100,5,2100,7
A,650,950,1130,1150,1,R1,1150,1150,1158,1178,0,R3,1178,2100,3130,3150,4,3150,5
A,650,1150,1880,1900,4,R1,1900,1900,1908,1928,0,R3,1928,3150,4230,4250,3,4250,7
A,800,1900,1980,2000,0,R0,2000,2000,2008,2028,0,R3,2028,4250,4830,4850,2,4850,2
A,850,2000,2180,2200,1,R1,2200,2200,2208,2228,0,R2,2228,2250,2330,2350,0,2350,1
A,850,2200,2580,2600,2,R1,2600,2600,2608,2628,0,R2,2628,2650,4380,4400,8,4400,10
A,850,2600,2830,2850,1,R1,2850,2850,2858,2878,0,R2,2878,4400,5130,5150,2,5150,3
A,900,2850,4080,4100,5,R0,4100,4100,4108,4128,0,R3,4128,4850,8480,8500,16,8500,21
A,1000,4100,4430,4450,2,R0,4450,4450,4458,4478,0,R3,4478,8500,10130,10150,5,10150,7
A,1000,4450,5580,5600,5,R0,5600,5600,5608,5628,0,R3,5628,10150,14680,14700,15,14700,20
A,1100,5600,5980,6000,3,R1,6000,6000,6008,6028,0,R2,6028,8200,8280,8300,0,8300,3
A,1200,6000,6330,6350,2,R0,6350,6350,6358,6378,0,R2,6378,8300,9130,9150,3,9150,5
A,1400,6350,6430,6450,0,R1,6450,6450,6458,6478,0,R2,6478,9150,9630,9650,2,9650,2
A,1600,6450,13380,13400,27,13400,27
A,1650,13400,13930,13950,4,13950,4
A,1650,13950,14880,14900,4,R0,14900,14900,14908,14928,0,R3,14928,22800,22930,22950,1,22950,5
A,1900,14900,15930,15950,6,15950,6
A,2050,15950,16080,16100,1,R0,16100,16100,16108,16128,0,R2,16128,16150,16230,16250,0,16250,1
A,2100,16100,16180,16200,0,R1,16200,16200,16208,16228,0,R2,16228,16250,17630,17650,5,17650,5
A,2150,16200,16280,16300,0,16300,0
A,2300,16300,17530,17550,5,R1,17550,17550,17558,17578,0,R2,17578,20150,21380,21400,5,21400,10
A,2350,17550,17780,17800,2,17800,2
A,2500,17800,21730,21750,15,R1,21750,21750,21758,21778,0,R3,21778,23350,24130,24150,3,24150,18
A,2600,21750,22530,22550,7,R1,22550,22550,22558,22578,0,R2,22578,28850,29130,29150,1,29150,8
A,2650,22550,22930,22950,3,R1,22950,22950,22958,22978,0,R2,22978,29150,29230,29250,0,29250,3
A,2850,22950,23080,23100,1,R0,23100,23100,23108,23128,0,R2,23128,29250,29430,29450,1,29450,2
A,2850,23100,23930,23950,4,R0,23950,23950,23958,23978,0,R2,23978,29450,30480,30500,4,30500,8
A,2900,23950,24130,24150,1,24150,1
A,2900,24150,24230,24250,0,R1,24250,24250,24258,24278,0,R3,24278,24350,26180,26200,9,26200,9
A,2950,24250,24330,24350,0,R1,24350,24350,24358,24378,0,R3,24378,26200,32280,32300,25,32300,25
A,3350,24350,24530,24550,2,R0,24550,24550,24558,24578,0,R3,24578,32300,32730,32750,2,32750,4
A,3450,24550,25780,25800,5,R0,25800,25800,25808,25828,0,R3,25828,33900,34280,34300,2,34300,7
A,3500,25800,28330,28350,11,R0,28350,28350,28358,28378,0,R3,28378,34300,35330,35350,4,35350,15
A,3550,28350,29080,29100,3,29100,3
A,3650,29100,29280,29300,1,R0,29300,29300,29308,29328,0,R3,29328,36750,38980,39000,8,39000,9
A,3650,29300,29430,29450,1,29450,1
A,3850,29450,29580,29600,1,29600,1
